,Star_name,Distance,Mass,Radius
0,Sun,0.000015813,1,1
1,Sirius,0008.6,2.1,1.71
2,Canopus,0310,15,71
3,Alpha Centauri,0004.4,1.1,1.2
4,Arcturus,0037,1.1,26
5,Vega,0025,2.2,2.7
6,Capella,0043,2.6,12
7,Rigel,0860,23,78.9
8,Procyon,0011.4,1.5,1.9
9,Betelgeuse,0640[1],20,950
10,Achernar,0144,6.7,9.3
11,Hadar,0390,10.5,8.6
12,Altair,0017,1.8,1.8
13,Acrux,0320,18,8.9
14,Aldebaran,0065,1.5,44
15,Antares,0600,12,680
16,Spica,0260,11.43,7.47
17,Pollux,0034,1.9,8.8
18,Fomalhaut,0025,1.9,1.8
19,Deneb,"2,600",19,203
20,Mimosa,0350,16,8.4
21,Regulus,0077,3.8,3.1
22,Adhara,0430,12.5,14
23,Shaula,0700,14.5,8.8
24,Castor,0052,2.8,2.4
25,Gacrux,0088,1.5,84
26,Bellatrix,0240,8.6,5.8
27,Elnath,0130,5.0,4.2
28,Miaplacidus,0110,3.5,6.8
29,Alnilam,"2,000",32,42
30,Gamma Velorum,"01,100",9.0,6
31,Alnair,0101,4.0,3.4
32,Alioth,0081,2.9,4.2
33,Alnitak,01050,33,20
34,Dubhe,0120,4.25,30
35,Mirfak,0590,8.5,68
36,Wezen,"1,600",17,200
37,Sargas,0270,5.7,26
38,Kaus Australis,0140,3.5,6.8
39,Avior,0630,9.0,130
40,Alkaid,0104,6.1,3.4
41,Menkalinan,081,2.39,2.77
42,Atria,0390,7,92
43,Alhena,0109,2.8,3.3
44,Peacock,0180,5.9,4.8
45,Alsephina[2],0080,2.4,2.9
46,Mirzam,0500,13.5,10
47,Polaris,0430,5.4,39
48,Alphard,0180,3.0,50
49,Mintaka,01200,24,16.5
50,Scheat,0196,2.1,95
51,Almaaz,0653,15,140
52,Rasalgethi,0360,2.8,280
53,Tau Ceti,011.9,0.783,0.893
54,Delta Pavonis,019.92,0.991,1.22
55,Ran,010.48,0.82,0.74
56,V382 Carinae,"08,900",20,485
57,Eta Carinae,"07,500",100,60–881
58,Delta Cephei,0887,4.5,44.5
59,Mu Cephei,"06,000",19.2,972
60,Titawin,044.25,1.27,1.48
61,Rho Cassiopeiae,"08,154",22,636-981
62,P Cygni,"05,545",30,76
64,VV Cephei,"04,900",18.2,"516 - 1,050"
65,61 Cygni,011.41,0.7,0.665
66,R Doradus,0178,0.7 - 1.0,298
67,Polaris Australis,0281,1.59,3.74
68,R Coronae Borealis,"04,566",0.85,85
69,54 Piscium,036.1,0.76,0.94
70,Mira,0300,1.2,370
71,RW Cephei,"014,000",13.9,"1,158"
72,Lacaille 8760,012.87,0.6,0.51
73,V838 Monocerotis,"019,896",?,380 - 750
74,HD 140283,0190,?,1.4
75,II Pegasi,0130,0.8,3.4
76,VY Canis Majoris,"03,900",17,"1,420"
77,Pistol Star,"025,000",100,320
78,S Doradus,"0169,000",24,380
79,UY Scuti,"05,100",7–10,755
80,Barnard's Star,05.98,0.14,0.20
81,Luhman 16,06.52,0.04,?
82,Proxima Centauri,04.25,0.12,0.15
83,KIC 8462852,"01,470",1.43,1.58
84,R136a1,"0163,000",290,32
85,Melnick 42,"0163,000",189,21.1
86,WR 102,"018,134",19,0.39
87,VFTS 352,"0164,000",57.48,14.47
88,YBP 1194,"02,772",1.01,0.99
89,Gliese 1214,047.5,0.16,0.21
90,NML Cygni,"05,251",50,"1,640 - 2,770"
91,VB 10,018.72,0.075,0.10
92,WOH G64,"0163,000",<20,"1,540 - 1,730"
93,TRAPPIST-1,039.6,0.089,0.12
94,2MASS J0523-1403,040.3,0.07,0.086
95,WISE 0855−0714,07.27,0.003,?
96,Icarus,"014,400,000,000",33,?
97,SDSS J000013.54+255418.6 [de],46.1,48,0.99
99,2MASS J00040288-6410358,192,19,1.63
101,2MASS J00242463-0158201,37.7,79,1.09
103,2MASS J00274197+0503417,236,31,1.44
105,2MASSW J0030300-145033,87.2,54,0.98
106,2MASS J00332386-1521309 [de],131,29,1.43
107,2MASS J00345157+0523050,31,42,0.94
108,2MASS 0036+1821,28.6,42,0.94
109,2MASSW J0045214+163445,57,23,1.62
110,WISEP J004701.06+680352.1 [fr],40,12,1.3
111,2MASS J00501994-3322402 [de],34,40,0.94
113,2MASS J00584253-0651239 [de],96,29,1.43
115,2MASSI J0103320+193536,70,52,0.98
116,SDSSp J010752.33+004156.1 [de],51,52,0.98
117,2MASSI J0117474-340325 [de],163,20,1.62
118,2MASS J01415823-4633574 [de],130,20,1.61
119,SDSS J015141.69+124429.6,70,47,0.97
123,SDSS J020742.48+000056.2 [de],111,47,0.97
124,2MASS J02103857-3015313,101,15,1.53
125,2MASS J02340093-6442068,155,20,1.62
126,2MASS J02411151-0326587 [de],152,27,1.41
127,2MASS J02431371−2453298,35,33,0.99
128,LP 771-21,53,78,1.08
130,Teegarden's star,12.578,80,1.27
131,2MASS J02535980+3206373,184,65,1.9
132,WISE J0254+0223,24,65,1.9
133,DEN 0255-4700,16.2,80,0.97
134,2MASS J03185403-3421292 [de],45,49,0.97
135,2MASS J03205965+1854233,47,88,1.15
136,2MASS J03231002-4631237,192,23,1.66
137,SDSS J032553.17+042540.1,59,45,0.95
138,2MASS J03264225-2102057 [de],80,18,1.3
139,2MASS J03284265+2302051 [de],98,54,0.98
140,2MASS J03341218-4953322,27.0,73,1.04
141,LP 944-20,20.9,73,1.43
142,2MASP J0345432+254023,88,74,1.05
143,Teide 1,380,55,3.78
144,2MASS J03510004-0052452,48,102,1.27
145,2MASS J03552337+1133437,29.8,20,1.32
147,2MASS J04151954−0935066,18.6,30,0.95
149,2MASS J04285096-2253227 [de],85,80,1.09
